id,prediction_label
1412,119044352
9656,106543824
21481,127571312
9777,110434968
27150,111724368
58224,123703656
14030,98827216
10065,113845096
8011,98983656
31947,92383424
295693,176566400
419639,121470552
23830,102695632
1535,131305584
372343,100509176
353070,129166896
10655,112115120
200,124980424
413644,92129984
9877,101731240
2757,115314256
395993,119344120
243,101587408
13408,125739584
11086,115938680
14873,137193056
11113,99768632
89492,134750928
16460,141363952
10263,103750312
4012,104492664
31597,112568856
11232,114196344
11569,109608808
491283,104800856
2832,117721432
10206,116717104
40095,108653760
41479,128392224
283587,92411040
250066,96958344
12211,111847712
15170,119353120
174,117494704
8696,111981136
71469,111011480
14035,114986392
1266,135988432
47407,124113160
12102,126964256
109520,124233048
27973,115848672
126337,129552792
353069,120777128
15413,122079352
80035,119689272
463684,113700856
18126,108652808
43012,101958248
323675,125150976
2291,117228088
978,133926352
13051,125513224
179,120982024
9796,116651032
14819,114640192
846,119656392
455551,107052296
14444,141526432
33347,91334760
245842,115490440
7453,112988960
943,110301544
9619,123598072
1775,127882296
11287,132637632
5237,81084520
11542,105602440
12088,91559336
11172,126193688
22820,117669568
9051,147160128
15417,118950008
158884,124588800
10139,122713736
59860,123392024
11449,107567496
313922,128720984
20856,139696176
3525,107686736
346685,129597160
1213,100926784
22972,99538936
416166,114935032
24739,120522104
18406,114634384
21141,121115288
10158,115326256
38408,133747680
38051,122996448
82505,96739008
9663,109776976
34193,108711528
55420,120045400
50204,97141952
39899,92558080
31659,104152680
201,127763200
21142,103457032
175528,132923680
809787,102256608
6589,119996216
19124,125884616
26178,78524944
11337,87246928
250124,131534424
44629,82008248
812635,90752816
11090,129561224
11586,103499720
9296,110399000
382322,101773112
12628,110789200
59387,119932136
36094,116647880
4823,121060488
16780,111150840
12476,113246608
408648,133405720
12106,100691648
9416,121557936
5289,103037320
50321,159689280
7516,98067000
1245,107519896
6488,106675864
3587,130652664
22613,85187432
9384,101104064
1492,90121448
590,122108240
4944,89676728
10647,129502256
22419,98985040
107811,129836464
9715,126073296
11860,96026304
7985,114405384
579051,123033040
13996,108306944
10223,136325552
9531,80234032
3021,134728432
345934,119536248
13995,108479888
11663,96008640
26606,83163728
103731,112300480
11169,134702944
6723,135288288
1011679,127896144
800939,92838752
18736,133236272
16866,101809432
35690,115729032
14256,121923464
8987,106840208
340677,85685792
11980,94827672
11511,144492080
466622,105733208
620725,113944200
27932,100045848
8012,114569680
722913,98998168
14517,108682088
10215,105759752
11011,119599408
41417,109944912
12157,120847960
5121,126228848
26682,121790440
76640,113790096
11235,105937976
721625,115895048
634,80854096
1360,99065552
18248,78153456
384737,119868504
3110,82998056
11536,95342472
38745,132923856
16617,99398888
2662,120640136
883502,113669384
14372,85876784
19794,131300208
9829,118975576
11983,127928728
103620,107888816
4806,138856496
287,153962928
10654,111859760
376865,93462896
508648,101024048
2321,136756384
14913,121319648
1858,164029024
8880,95154736
293646,93696224
22796,122268216
82682,125673192
11158,119405848
11543,73222440
10133,126306680
9890,100687816
10162,97184592
12663,81478000
11848,80252544
39939,114255560
16113,153116128
218778,139177040
193610,150312752
73939,119671440
15516,98383880
18041,104808440
12193,134342752
12690,106904128
440249,114655240
480042,120925336
821,100571256
11259,113336824
468362,130974160
15045,143413520
18639,83489872
18646,103476528
4629,99616248
40969,106597576
12192,122426832
429471,124242752
100683,131482872
1945,121510832
404,91726256
624479,113145992
109443,126168728
9437,112315304
14623,116724616
43864,110438552
11571,103030872
24965,135757392
1803,116422920
1444,118569080
16295,114463032
138977,131551808
592,96904808
11547,109613912
23988,94281504
6069,106480152
32856,140875344
184098,140435232
75204,115420504
10839,106964448
16222,115397176
38357,141517824
65086,104635256
33166,109417080
704,115520816
11355,129810072
11820,103648056
238589,102533344
16515,109168704
35939,113239600
11258,114188392
416234,90997480
39283,107135040
922,105554696
171424,105014992
7979,123352864
98339,121968376
13509,99418792
10858,108891216
10173,118422816
2114,142472464
225565,116869400
23367,108849872
26914,77130192
1946,113544752
35696,139949104
277778,128341712
27793,108141288
10729,120680280
12699,98953224
13275,114956408
8487,117196664
11597,132303248
224141,149445328
8452,113252672
257785,106884128
2453,114330360
13991,81082944
9085,103976080
293,115471168
10093,116588424
62796,127571312
343,110141632
6116,126365832
3132,121458208
27503,65637688
16614,116386312
10923,115395872
244783,109801832
760926,99874608
376004,123894184
4592,125566376
19116,109301136
567690,118475032
11483,98953392
26389,98444176
10733,113086752
9102,99020208
1978,85759008
46717,117834128
37861,108826432
10699,127341992
70584,108259416
1857,112614368
340402,121568200
301608,122741496
10468,124500840
256030,113723384
19185,106606544
48231,96343960
340101,93527184
10833,111229696
10187,126419776
22490,106767664
18410,103978976
24684,90436280
9886,115980848
457262,90735280
16227,77042496
166680,110513384
123025,116573008
22825,116361640
10064,127907760
36355,112492256
15613,108017928
172391,85017784
249660,114642552
16232,132042920
11167,85286832
304613,72466664
10466,155056304
27725,102181352
14635,107350920
19819,99262432
10007,110900288
9331,111132536
549,118842568
12105,115937304
10632,117232728
10021,120438760
2787,135393008
693113,119091608
9400,133184344
10782,108596624
28510,126841296
65057,117705792
9386,118788976
10400,124195960
20,103809032
18937,112898368
9540,109484592
887,107976440
9900,102561112
294741,88777728
209403,122668408
7364,109567280
305642,124654568
46691,119567480
12545,108656504
306745,118825816
6020,119752848
10326,103863016
2293,143690512
2925,127104688
18032,111326440
16633,119263320
17352,106278024
398,121062464
10740,108919744
11165,112777576
12150,110127360
5854,115207376
986054,118418856
5002,99966376
21915,112725864
228676,110152912
326316,103856048
25196,107410424
106747,112025112
72358,119714408
59210,88781120
9978,111835216
7859,123567240
10756,148413536
289222,115026208
4597,124602192
14306,130651248
10708,130205760
241258,118636080
231,131026512
18316,113183456
45556,82099224
401469,125956864
26203,126834824
64586,71450136
7450,132837096
554241,131373000
68179,130690936
11386,80854104
11683,108807600
9549,97014360
75736,111574184
9556,117691784
14123,108642936
12919,133497352
24528,127148912
488397,141118464
13937,130507752
421658,116309904
182560,105479656
11982,144461072
11812,136765376
24249,120433864
25633,125556104
468,113838896
885110,119642088
12498,124529672
13279,135831664
8090,119640968
412988,120925336
20325,100229056
24832,103831616
42121,104528840
26175,101467824
31962,101144784
7227,94887992
9434,150564416
22048,132382800
4958,111749808
426230,107135320
2007,101245888
6877,151593536
152737,134309792
95610,104098056
14033,117681768
43390,103885392
11221,125809664
1782,94294992
8843,116174840
36362,106956352
763539,126172408
586101,101423368
768,112210056
66125,117395320
234004,118573872
10829,119774128
916588,118593392
555285,98332976
1381,111203352
11504,111868976
185567,73060160
54445,128141312
18405,130839664
9396,107597200
13767,126839640
842169,99159704
10934,101333736
11843,114953816
12079,115619616
20694,148876240
2064,146014336
44945,121350608
85889,91591824
12435,129752312
5680,113961320
9272,113902880
9278,119208712
79694,112192960
17894,138298848
13059,108837064
13187,127571312
133931,86959952
11638,101921512
477510,127942456
276902,103102272
1165,81724072
13490,109170064
653744,110418800
11246,102223984
9504,103639688
557950,108110144
11052,136310112
226486,124814640
203739,122542616
26748,108832664
42861,82710072
11773,85199544
118289,89297840
22582,140740208
10209,110961272
1931,113556160
1552,132688840
12253,118293448
83533,158126288
10758,122707504
3635,81043880
850028,95633416
12177,103671176
921,135529840
49009,77278488
273238,131923280
10706,100259048
2069,114757328
1365,124702360
10660,124065728
15582,137754160
12775,79800528
30618,116540280
91550,118113544
2895,128221160
8988,113789544
22586,133902928
11427,105636048
11152,164915120
11826,88565552
64328,137525296
383,100865256
87825,106757176
11533,115302568
442064,108885192
398173,102068224
65291,118438824
9538,114891640
696157,108759440
10603,127628744
54013,92478416
9721,82060496
67748,78952424
14202,117819800
10627,97676720
9903,123815320
22947,116550480
12144,81356856
38171,90964432
371638,114144144
451184,89230672
19851,112309592
1850,108337240
13321,98084464
636,114647496
10710,124898336
10564,126073312
13335,125994408
76285,138127088
11503,111774864
249,138404912
9271,107449344
36797,123891904
18118,95461368
9791,102365488
508664,107386064
9624,132681304
3509,135202352
438970,121790440
320146,115967912
3989,104512760
34583,114357808
726739,101872128
472553,86042832
298582,122421824
9494,148771424
203,104036744
62008,114474808
716612,121494328
19542,99141744
244264,129225608
152603,102673800
15714,89264776
100,130432104
72571,139528144
27303,117494480
11478,116684624
13342,136821984
10030,123593792
28941,104087888
35680,108917280
16921,111374000
15487,124793664
46221,90854272
631058,119879392
10598,109805704
11888,117733800
466081,124108880
134375,121790440
26127,99104656
17657,111125528
377264,114953920
2576,94425512
276839,116559224
59861,106774216
30890,111753008
39874,110902928
10142,106692720
16442,103545680
304336,123515248
14681,127948032
1052,89528968
1411,107906728
260535,118573456
11456,101270776
11418,124433120
10726,108132384
14839,121133200
33734,105602960
24469,80490704
11044,105050424
164251,131971816
316410,88063608
366924,118949608
14813,112493992
11775,123265280
10787,87970656
10110,118925960
1574,91148504
81778,121610360
13377,106682928
55045,131227200
453201,116441576
14365,115395080
24664,131958976
19824,153136336
67,77946840
15037,154943472
28117,107732456
10937,114377240
5227,104931040
262840,116094152
10688,98823504
18553,98869200
9275,99701080
8854,118016248
759,85423024
10128,122814712
11229,124841504
468224,119438856
24804,106789096
403232,123555672
392982,119853104
11646,117005672
13346,119427640
12138,106443544
11850,104072672
12837,114409696
11050,123139792
440161,97550048
8409,104655464
65364,126912344
10117,99758528
10685,125387920
127493,138609328
15745,115542976
23196,113021664
10644,116031280
10122,126218496
9675,116772720
35114,138929840
9885,135476224
86838,127129912
68812,134008200
222899,141985808
455957,100685672
9636,101448680
23101,94280416
10676,121188496
444308,101548736
11121,81958664
4599,129059296
5126,128564376
12219,127571312
24226,122095416
16235,109932720
26680,107682416
7461,99064312
63207,93006472
3594,117073360
19064,127950072
129670,105724496
256924,114380184
1665,124954824
